DateKey,Date,Year,Quarter,Month,MonthName,WeekOfYear,Day,DayOfWeek
20260201,2026-02-01,2026,Q1,2,Feb,4,1,Sunday
20260203,2026-02-03,2026,Q1,2,Feb,5,3,Tuesday
20260205,2026-02-05,2026,Q1,2,Feb,5,5,Thursday
20260209,2026-02-09,2026,Q1,2,Feb,6,9,Monday
20260310,2026-03-10,2026,Q1,3,Mar,10,10,Tuesday
20260312,2026-03-12,2026,Q1,3,Mar,10,12,Thursday
20260314,2026-03-14,2026,Q1,3,Mar,10,14,Saturday
20260315,2026-03-15,2026,Q1,3,Mar,10,15,Sunday
20260319,2026-03-19,2026,Q1,3,Mar,11,19,Thursday
20260327,2026-03-27,2026,Q1,3,Mar,12,27,Friday
